case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis
baseline,"(40, 150, 2, 0.2, -2, -0.2)",355.6,0.502970297,183.625,0.517454307,0.000637569,0.019223103,-0.091410683,0.000604859,0.098145801,0.179707098,6.859426195
baseline,"(40, 150, 2, 0.3, -2, -0.3)",340.975,0.4822843,175.975,0.517332335,0.000604965,0.019181427,-0.091297451,0.000615822,0.095844784,0.165842245,7.024210955
baseline,"(40, 150, 2, 0.4, -2, -0.4)",329.875,0.466584158,170,0.516762275,0.000574234,0.019205955,-0.091272859,0.000585538,0.095226505,0.165374829,7.066274086
baseline,"(40, 150, 2, 0.5, -2, -0.5)",313.175,0.442963225,161.6,0.517334686,0.000575585,0.019314978,-0.091272859,0.000653463,0.094496651,0.145242624,7.065855612
baseline,"(40, 200, 2, 0, -2, 0)",357.75,0.58937397,183.975,0.515232915,0.000814029,0.019839428,-0.091496737,0.000566246,0.110336595,0.468066702,8.720906484
baseline,"(40, 200, 2, 0.1, -2, -0.1)",348.45,0.574052718,179.15,0.515106231,0.000790794,0.019904778,-0.091364061,0.000555704,0.110299591,0.468510271,8.809869175
baseline,"(40, 200, 2, 0.2, -2, -0.2)",335.325,0.552429984,172.875,0.516949982,0.00082217,0.019730318,-0.089636833,0.000602432,0.103391855,0.364494567,7.407442341
baseline,"(40, 200, 2, 0.3, -2, -0.3)",321.275,0.529283361,166.025,0.518180985,0.000852907,0.019503025,-0.085430702,0.000678595,0.10061096,0.409837827,6.252431954
baseline,"(40, 200, 2, 0.4, -2, -0.4)",307.8,0.50708402,158.725,0.51735402,0.000797156,0.019519123,-0.085430702,0.000650101,0.099398186,0.395993564,6.267503267
baseline,"(40, 200, 2, 0.5, -2, -0.5)",296.35,0.488220758,152.85,0.517049049,0.00081011,0.019518181,-0.083790294,0.000659636,0.099398186,0.434160037,6.464473264
baseline,"(50, 50, 2, 0, -2, 0)",437.02,0.481830209,226.6,0.519703011,0.001043531,0.019381973,-0.088661964,0.000693976,0.11617562,0.586280021,8.020605092
baseline,"(50, 50, 2, 0.1, -2, -0.1)",422.8,0.46615215,219.24,0.519716539,0.001014692,0.019410163,-0.088661964,0.000651964,0.113790801,0.556087581,7.808485664
baseline,"(50, 50, 2, 0.2, -2, -0.2)",404.5,0.445975744,209.68,0.519655091,0.00102621,0.01955228,-0.087922209,0.000689208,0.113790801,0.567609027,7.816453028
baseline,"(50, 50, 2, 0.3, -2, -0.3)",385.78,0.425336273,199.72,0.519221754,0.001027247,0.019602652,-0.087662991,0.000663657,0.113031728,0.559255345,7.850512505
baseline,"(50, 50, 2, 0.4, -2, -0.4)",367.74,0.405446527,190.32,0.519001889,0.001034533,0.019595772,-0.088013461,0.000651277,0.110664392,0.533644195,7.720312856
baseline,"(50, 50, 2, 0.5, -2, -0.5)",347.66,0.383307607,180.44,0.5207528,0.001074178,0.019629163,-0.087773232,0.000724348,0.106963152,0.489038694,7.522806604
baseline,"(50, 150, 2, 0, -2, 0)",389.64,0.551117397,201.34,0.517481442,0.000566164,0.018761963,-0.089090998,0.000590687,0.095932294,0.154299242,6.249075982
